no,vowel,isPre,distance_to_target,distance_to_closest,closest_phoneme
9,u,False,7.633876094057289,25.297343023703494,ʊ
10,i,False,0.3862060317450354,22.013719309363807,ɪ
10,ɪ,False,0.6804423626724758,9.8348450176786,ɛ
10,ɛ,False,0.6266812803808168,9.26225866564578,ɪ
10,æ,False,1.3514494604246017,7.6594398030811295,ɛ
10,ʌ,False,0.743029884845016,8.944252036803476,ɑ
10,ɑ,False,0.2779901994681925,12.967377601053364,ʌ
10,ɔ,False,0.6725918657817881,14.276732236301015,ɑ
10,ʊ,False,2.546133428347236,7.4941583425274905,ɔ
10,u,False,2.574717792647379,19.307654199871884,ʊ
11,i,False,1.8182123176696723,26.76113362419595,ɪ
11,ɪ,False,0.015280253647053965,7.832368953150431,ɛ
11,ɛ,False,1.3434931753740396,3.8532909843182828,æ
11,æ,False,0.05321638281562081,15.221499695258164,ɛ
11,ʌ,False,4.199471603829092,6.548940663411466,ɑ
11,ɑ,False,0.12422753120904045,9.566604370989577,ʌ
11,ɔ,False,0.5823912051557613,12.834205491848865,ɑ
11,ʊ,False,0.6066204004719649,11.083708787476713,u
11,u,False,1.0044347195296206,13.617461656806128,ɔ
12,i,False,5.0638755368787,44.25280150530938,ɪ
12,ɪ,False,2.687335603899756,3.909582138821997,ɛ
12,ɛ,False,7.434794587490076,6.912231686062874,æ
12,æ,False,1.1071554840960616,11.922430324316258,ɛ
12,ʌ,False,6.397234172104618,24.615056324644378,ɑ
12,ɑ,False,2.1317564467241814,11.159802495051661,ʌ
12,ɔ,False,2.3882583616198745,15.26263036742816,ɑ
12,ʊ,False,1.3261315497937847,9.055021223058446,u
12,u,False,0.4254214246958826,12.197818535491558,ɔ
13,i,False,0.9291984456579598,27.61256928622457,ɪ
13,ɪ,False,0.14138014572641114,7.7477073702786905,ɛ
13,ɛ,False,0.8313145399890536,7.769773745541463,æ
13,æ,False,0.15432731472165095,20.125432879512612,ɛ
13,ʌ,False,1.1168423774523275,10.767181721142444,ɑ
13,ɑ,False,1.3229253328448567,6.736188325261695,ʌ
13,ɔ,False,0.5261689260903353,21.394789211007357,ɑ
13,ʊ,False,0.12059385978139951,5.826183354916892,u
13,u,False,1.9932692053489962,6.700909046446436,ɔ
14,i,False,0.12972461547950626,19.33206675193871,ɪ
14,ɪ,False,2.1215206155148176,3.009983826702573,ɛ
14,ɛ,False,1.4562715468724559,6.661346667212823,ɪ
14,æ,False,0.5848361647234772,24.1707230248217,ɛ
14,ʌ,False,1.3656768628157396,12.226725507833738,ɑ
14,ɑ,False,1.1632763529389203,4.015450452869297,ʌ
14,ɔ,False,1.0395943803370187,15.018865053751641,ɑ
14,ʊ,False,0.9374931025703087,12.680276217335727,u
14,u,False,2.2059736104269105,16.52440395918452,ɔ
15,i,False,4.735206135449547,10.635476261332553,ɪ
15,ɪ,False,0.2183758973286593,10.6016025454891,ɛ
15,ɛ,False,4.106569755676317,6.474593310712326,ɪ
15,æ,False,1.792339347368626,13.98982572881579,ɛ
15,ʌ,False,4.921329529251685,0.970998775947214,ɑ
15,ɑ,False,1.5156083340157251,6.608057489883823,ɔ
15,ɔ,False,0.37706425761719264,10.858968787462873,ɑ
15,ʊ,False,2.0725020819826514,6.408542420359061,u
15,u,False,0.71995517296328,13.393935618535785,ʊ
16,i,False,0.2659823228282309,19.345260188926574,ɪ
16,ɪ,False,1.9534246339849417,9.157067851873329,i
16,ɛ,False,1.3661775537029872,6.661623835484054,ɪ
16,æ,False,1.0096422276848844,7.524543140715972,ɛ
16,ʌ,False,0.5022624091458117,4.97725242780869,ɑ
16,ɑ,False,2.808354271512477,11.316844483185285,ɔ
16,ɔ,False,4.325346062721408,15.5544889108849,ɑ
16,ʊ,False,0.7664172831321246,5.556406339497349,u
16,u,False,3.4860063770709893,6.3197218124580115,ʊ
17,i,False,1.9519144717886305,33.509534340471546,ɪ
17,ɪ,False,1.3133494084810615,11.557648827948022,ɛ
17,ɛ,False,1.375574436695529,6.78124835514192,æ
17,æ,False,0.4608586919521736,9.329570941138305,ɛ
17,ʌ,False,0.501448812219329,10.882886397944898,ɑ
17,ɑ,False,0.4693243243594806,13.994940301704833,ɔ
17,ɔ,False,5.1845627702689026,20.643868148436074,ɑ
